Jacob Salazar, jacob.salazar@uwaterloo.ca, quartzumbrellabat76
William Chen, william.chen@uwaterloo.ca, icelakehill34
Diane Wagner, diane.wagner@uwaterloo.ca, mangomountainpenguin82
Marilyn Nguyen, marilyn.nguyen@uwaterloo.ca, penguinquailjellyfish25
Diane Hicks, diane.hicks@uwaterloo.ca, quincecherryxylophone17
Pamela Garcia, pamela.garcia@uwaterloo.ca, kangaroohillgoat58
Alice Soto, alice.soto@uwaterloo.ca, antquincebreeze39
Leonard Chavez, leonard.chavez@uwaterloo.ca, hillwatermelonxylophone70
Frank Tucker, frank.tucker@uwaterloo.ca, whalezebraxylophone65
Jeffrey Jimenez, jeffrey.jimenez@uwaterloo.ca, zephyrbreezetree93
Kenneth Guzman, kenneth.guzman@uwaterloo.ca, hilllionmango15
George Nelson, george.nelson@uwaterloo.ca, bananagoatocean18
Scott Gonzales, scott.gonzales@uwaterloo.ca, watermelonjellyfishxerus36
Janet Castro, janet.castro1@uwaterloo.ca, quinceiguanazephyr22
Barbara Clark, barbara.clark@uwaterloo.ca, owlraspberrykiwi16
Amy Woods, amy.woods@uwaterloo.ca, vanillalionpeak19
Gabriel Walker, gabriel.walker@uwaterloo.ca, nectarineyawnowl83
Kathryn Romero, kathryn.romero@uwaterloo.ca, horsekiwistrawberry52
Kathleen Rose, kathleen.rose@uwaterloo.ca, watermelonkettleapple10
Jordan Hunter, jordan.hunter@uwaterloo.ca, jungleiguanaturtle30
Kevin Harrison, kevin.harrison@uwaterloo.ca, quartzbreezepenguin51
Jacqueline Young, jacqueline.young@uwaterloo.ca, valleyxiguakiwi65
Juan Simpson, juan.simpson@uwaterloo.ca, honeydewyellowelephant92
Jason Thompson, jason.thompson@uwaterloo.ca, hillturtlexigua87
Deborah Black, deborah.black1@uwaterloo.ca, mangobreezexylophone56
Jerry Adams, jerry.adams@uwaterloo.ca, zucchinimangojellyfish87
Donna Mendez, donna.mendez@uwaterloo.ca, rabbitquincequail77
Steven Nichols, steven.nichols@uwaterloo.ca, kettlekiwiowl79
Dylan Reyes, dylan.reyes@uwaterloo.ca, vulturebreezeelderberry40
Billy Kim, billy.kim@uwaterloo.ca, elephantpapayaice63
Sean Griffin, sean.griffin@uwaterloo.ca, vulturepenguinstrawberry36
Sandra Jenkins, sandra.jenkins@uwaterloo.ca, umbrellawatermelonnewt40
Donna Mills, donna.mills@uwaterloo.ca, yellownightfig47
Sharon Hill, sharon.hill@uwaterloo.ca, quartzyakbanana31
Angela Sullivan, angela.sullivan@uwaterloo.ca, xylophonebatfrog16
Rachel Marshall, rachel.marshall@uwaterloo.ca, lionhoneydeworange49
Dorothy Warren, dorothy.warren@uwaterloo.ca, elderberryjellyfishstrawberry90
Kyle Holmes, kyle.holmes@uwaterloo.ca, strawberrygoatkiwi95
Donna Ferguson, donna.ferguson@uwaterloo.ca, papayahorseant99
Mary Lee, mary.lee@uwaterloo.ca, cherryvanillapeak47
Larry Morales, larry.morales@uwaterloo.ca, nightpeakxigua81
Nancy Nichols, nancy.nichols@uwaterloo.ca, lionowlriver13
Maria Wallace, maria.wallace@uwaterloo.ca, strawberryxiguaocean26
Julie Schmidt, julie.schmidt@uwaterloo.ca, lemonturtleiguana62
Stanley Warren, stanley.warren@uwaterloo.ca, elderberryjunglegoat61
Margaret Alexander, margaret.alexander@uwaterloo.ca, whaletangerinexylophone39
Adam Taylor, adam.taylor@uwaterloo.ca, penguinjungleiguana63
Sophia Sanders, sophia.sanders@uwaterloo.ca, batpenguinlion53
Andrew Fisher, andrew.fisher@uwaterloo.ca, mountainwindquince82
Henry Smith, henry.smith@uwaterloo.ca, windlionquartz62
Gabriel Aguilar, gabriel.aguilar@uwaterloo.ca, yakelephantgoat53
Margaret Wilson, margaret.wilson@uwaterloo.ca, lemonnectarinestrawberry93
Carol Ryan, carol.ryan@uwaterloo.ca, watermelonnightpenguin16
Pamela Snyder, pamela.snyder@uwaterloo.ca, elderberryowlfig57
Kevin Watson, kevin.watson@uwaterloo.ca, flowerearthshark89
Christina Bryant, christina.bryant@uwaterloo.ca, yakgrapezucchini45
Willie Allen, willie.allen@uwaterloo.ca, whalequartzocean57
Scott Graham, scott.graham@uwaterloo.ca, bananafigurchin93
Larry Rivera, larry.rivera@uwaterloo.ca, vanillaappleelephant50
Kathleen Watson, kathleen.watson@uwaterloo.ca, orangezebrabanana28
Timothy King, timothy.king@uwaterloo.ca, papayalakeelephant37
Deborah Sullivan, deborah.sullivan@uwaterloo.ca, lionpenguinhill70
Anthony Henry, anthony.henry@uwaterloo.ca, kiwiwatermelonelderberry42
Ryan Morris, ryan.morris@uwaterloo.ca, hillapplelake58
Gerald Murray, gerald.murray@uwaterloo.ca, raspberryclouddew19
Ruth James, ruth.james@uwaterloo.ca, quartzpenguinxerus18
Frances West, frances.west@uwaterloo.ca, peakfrogvalley72
Patricia Hunter, patricia.hunter@uwaterloo.ca, kiwilakeumbrella53
Angela Nguyen, angela.nguyen@uwaterloo.ca, oceanxiguawatermelon92
Nicholas Powell, nicholas.powell@uwaterloo.ca, hillorangeant28
Christian Roberts, christian.roberts@uwaterloo.ca, umbrellasharksand37
Ethan Williams, ethan.williams@uwaterloo.ca, grapejunglepenguin43
Raymond Russell, raymond.russell@uwaterloo.ca, figvanillagrass43
Kathryn Gutierrez, kathryn.gutierrez@uwaterloo.ca, penguinquailjellyfish39
John Cooper, john.cooper@uwaterloo.ca, datequaillake89
Emily Griffin, emily.griffin@uwaterloo.ca, grapelakegoat90
Judy Wright, judy.wright@uwaterloo.ca, urchinmangoxerus36
Joseph Vasquez, joseph.vasquez@uwaterloo.ca, flowerstrawberryelephant86
Doris Harris, doris.harris@uwaterloo.ca, quartzumbrellalion38
Eugene Romero, eugene.romero@uwaterloo.ca, owlicedate94
Daniel Stephens, daniel.stephens@uwaterloo.ca, battreeowl82
Samuel Cruz, samuel.cruz@uwaterloo.ca, lemonjellyfishsand50
Cheryl Gonzales, cheryl.gonzales1@uwaterloo.ca, windkangaroostrawberry14
Nicholas Silva, nicholas.silva@uwaterloo.ca, kiwiwindurchin34
Eugene Brooks, eugene.brooks@uwaterloo.ca, sandmangojellyfish67
Michael Lee, michael.lee@uwaterloo.ca, treeraspberryfig28
Julia Holmes, julia.holmes@uwaterloo.ca, treeyawnearth14
Kelly Kim, kelly.kim@uwaterloo.ca, umbrellaxeruslemon60
Steven Gutierrez, steven.gutierrez@uwaterloo.ca, owliguanaxerus78
Sharon Jackson, sharon.jackson@uwaterloo.ca, vanillarabbitice15
Lisa Holmes, lisa.holmes@uwaterloo.ca, xylophonelioncat59
Jerry King, jerry.king@uwaterloo.ca, frogvulturexigua87
Margaret Romero, margaret.romero@uwaterloo.ca, sandjellyfishdog65
Michael Gutierrez, michael.gutierrez@uwaterloo.ca, bananazephyrelderberry82
Sarah Hall, sarah.hall@uwaterloo.ca, orangewhalekangaroo87
Christopher Freeman, christopher.freeman@uwaterloo.ca, lemonmountainquartz23
David Chavez, david.chavez@uwaterloo.ca, antpenguinmango77
Jordan Peterson, jordan.peterson@uwaterloo.ca, catmangonewt53
Isabella Castillo, isabella.castillo@uwaterloo.ca, peakelderberrywhale29
Roger Foster, roger.foster@uwaterloo.ca, urchinmonkeyearth29
Alan Rice, alan.rice@uwaterloo.ca, rabbitzephyrzucchini23
Rachel Foster, rachel.foster@uwaterloo.ca, valleyurchinautumn11
Janet Jackson, janet.jackson@uwaterloo.ca, orangejunglestrawberry30
Kayla Perez, kayla.perez@uwaterloo.ca, raspberrypenguinquartz37
Dorothy Flores, dorothy.flores@uwaterloo.ca, kiwizephyrumbrella36
Terry Price, terry.price@uwaterloo.ca, batsharklion30
Peter Mason, peter.mason@uwaterloo.ca, xeruscloudant54
Jennifer Harrison, jennifer.harrison@uwaterloo.ca, newtquartztangerine87
Walter Thompson, walter.thompson@uwaterloo.ca, grassbreezefig32
Jeremy Wells, jeremy.wells1@uwaterloo.ca, dogvalleycherry81
Raymond Stephens, raymond.stephens@uwaterloo.ca, nectarineiguanabat91
Jacqueline Bailey, jacqueline.bailey@uwaterloo.ca, quaildewumbrella73
Stephanie Collins, stephanie.collins@uwaterloo.ca, dogautumnbreeze97
Larry Gonzales, larry.gonzales@uwaterloo.ca, iguanaturtlesand55
Harry Ramirez, harry.ramirez@uwaterloo.ca, lemonsharkocean41
Joan Mcdonald, joan.mcdonald@uwaterloo.ca, yawntreevulture83
Joshua Diaz, joshua.diaz@uwaterloo.ca, watermelonvulturekettle76
Nancy Rice, nancy.rice@uwaterloo.ca, goattangerinepapaya44
Logan Salazar, logan.salazar@uwaterloo.ca, lakebananapenguin65
Jesse Hamilton, jesse.hamilton@uwaterloo.ca, kangaroofignight19
Daniel Perez, daniel.perez@uwaterloo.ca, vanillaiceyawn92
Pamela Harris, pamela.harris@uwaterloo.ca, quincefrogvulture30
Emma Jimenez, emma.jimenez@uwaterloo.ca, zucchinihillfrog50
William Bell, william.bell@uwaterloo.ca, cloudtreesand42
Helen Munoz, helen.munoz@uwaterloo.ca, sandugliowl38
David Ford, david.ford@uwaterloo.ca, watermelonsharkquartz64
Nathan Stephens, nathan.stephens1@uwaterloo.ca, autumniguanacloud20
Dennis Powell, dennis.powell@uwaterloo.ca, breezedateurchin75
Harry Webb, harry.webb@uwaterloo.ca, catcatturtle36
Gerald Snyder, gerald.snyder@uwaterloo.ca, yakxiguaturtle90
Cheryl Holmes, cheryl.holmes@uwaterloo.ca, iguanagoatugli15
Lisa Robinson, lisa.robinson@uwaterloo.ca, kettlejellyfishtree49
Rose Ferguson, rose.ferguson@uwaterloo.ca, whalenectarinezephyr42
Cheryl Flores, cheryl.flores@uwaterloo.ca, whaleorangedew78
Johnny Henderson, johnny.henderson@uwaterloo.ca, strawberryapplelion20
Sophia Brown, sophia.brown@uwaterloo.ca, turtlenightbanana47
Shirley Reyes, shirley.reyes@uwaterloo.ca, jungleraspberryrabbit20
Randy Russell, randy.russell@uwaterloo.ca, grapebreezedog29
Paul Henderson, paul.henderson@uwaterloo.ca, xerushoneydewcat27
Katherine Robertson, katherine.robertson@uwaterloo.ca, tangerineelderberryflower14
Julia West, julia.west@uwaterloo.ca, lionstrawberryapple80
Jason Davis, jason.davis@uwaterloo.ca, jellyfishjunglerabbit52
Carol Hill, carol.hill@uwaterloo.ca, zebraiguanaturtle62
Dorothy Perez, dorothy.perez@uwaterloo.ca, vulturexylophonebreeze89
Carl Moore, carl.moore@uwaterloo.ca, dewflowertree52
Jordan Hall, jordan.hall@uwaterloo.ca, catumbrellabat34
Denise Kennedy, denise.kennedy@uwaterloo.ca, antquaildate51
Lawrence Hunt, lawrence.hunt@uwaterloo.ca, watermelonraspberryugli73
Joan Lee, joan.lee@uwaterloo.ca, lionicemango73
Julia Fox, julia.fox@uwaterloo.ca, raspberrywindturtle37
Elizabeth Nelson, elizabeth.nelson1@uwaterloo.ca, turtleuglicat39
Ronald Gordon, ronald.gordon@uwaterloo.ca, uglijungleraspberry29
Stephen Mendoza, stephen.mendoza@uwaterloo.ca, earthjungleumbrella27
Danielle Woods, danielle.woods@uwaterloo.ca, kangarooxeruszephyr80
Jack Hunter, jack.hunter1@uwaterloo.ca, vulturecatgrape35
Willie Hughes, willie.hughes1@uwaterloo.ca, yakyellowhill92
Karen Medina, karen.medina@uwaterloo.ca, quincexigualake38
Leonard Jones, leonard.jones@uwaterloo.ca, horsezephyrzebra90
Joyce Evans, joyce.evans@uwaterloo.ca, bananaturtleshark98
Christopher Morris, christopher.morris@uwaterloo.ca, sharkvulturevulture31
Charles Mendez, charles.mendez@uwaterloo.ca, monkeyyellowhorse37
Carol Cox, carol.cox@uwaterloo.ca, breezenectarineiguana32
Ruth Alexander, ruth.alexander@uwaterloo.ca, dognectarinepenguin84
Katherine Murray, katherine.murray@uwaterloo.ca, umbrellatreegoat21
Emily Chavez, emily.chavez1@uwaterloo.ca, urchinlemonnight77
Maria Fisher, maria.fisher@uwaterloo.ca, dewxylophonefig74
Olivia Rivera, olivia.rivera@uwaterloo.ca, vanillawatermelonsand25
George Davis, george.davis@uwaterloo.ca, zebrazucchinikangaroo60
Donna Cooper, donna.cooper@uwaterloo.ca, mangodewlake19
Jerry Morgan, jerry.morgan@uwaterloo.ca, oceanorangexylophone77
Harry Powell, harry.powell@uwaterloo.ca, quartzgoatbreeze60
Dennis Taylor, dennis.taylor@uwaterloo.ca, zebraxiguacat69
Robert Snyder, robert.snyder@uwaterloo.ca, cherryyawnpapaya85
Walter Salazar, walter.salazar@uwaterloo.ca, strawberrymountainautumn73
Mary Walker, mary.walker@uwaterloo.ca, raspberryelephantgrass30
Pamela Washington, pamela.washington@uwaterloo.ca, grapelemonvanilla68
Michelle Jordan, michelle.jordan@uwaterloo.ca, catearthjungle42
Roy Fox, roy.fox@uwaterloo.ca, elderberryoceanumbrella94
Brittany Ramirez, brittany.ramirez@uwaterloo.ca, whaleiguanafig60
Heather Alvarez, heather.alvarez@uwaterloo.ca, vanillacloudmountain12
Vincent Burns, vincent.burns@uwaterloo.ca, batdewflower94
Joyce Baker, joyce.baker@uwaterloo.ca, treeriverfig95
Benjamin Peterson, benjamin.peterson@uwaterloo.ca, grapeautumnnewt18
Isabella Freeman, isabella.freeman@uwaterloo.ca, icetangerineautumn65
Kenneth Watson, kenneth.watson@uwaterloo.ca, urchinquartzzucchini81
Kayla Martinez, kayla.martinez@uwaterloo.ca, earthwhaleorange41
Janice Freeman, janice.freeman@uwaterloo.ca, zebramonkeylake46
Richard Price, richard.price@uwaterloo.ca, newtyawnautumn44
Noah Wilson, noah.wilson@uwaterloo.ca, goathillriver49
Scott Washington, scott.washington@uwaterloo.ca, rabbitpapayaautumn25
Albert Marshall, albert.marshall@uwaterloo.ca, icejellyfishraspberry61
Marilyn Hughes, marilyn.hughes@uwaterloo.ca, rabbitgrassugli39
Kimberly Sanchez, kimberly.sanchez@uwaterloo.ca, lakepeakwind48
Sara Fernandez, sara.fernandez@uwaterloo.ca, yawnjunglenewt20
Henry Stevens, henry.stevens@uwaterloo.ca, nightxylophonepeak84
Joshua Black, joshua.black@uwaterloo.ca, urchinantzucchini10
Judith Ross, judith.ross@uwaterloo.ca, ugliyellowdate22
Roy Hunter, roy.hunter@uwaterloo.ca, xylophoneelephantgrape30
Gloria Hunt, gloria.hunt@uwaterloo.ca, zebradewlemon30
Megan Marshall, megan.marshall@uwaterloo.ca, hillhoneydewkettle84
Larry Mills, larry.mills@uwaterloo.ca, nightsandvalley45
Bruce Bailey, bruce.bailey@uwaterloo.ca, sandxylophonehill68
Victoria Medina, victoria.medina@uwaterloo.ca, zephyrjellyfishtangerine46
Katherine Schmidt, katherine.schmidt@uwaterloo.ca, quinceyakugli49
Henry Green, henry.green@uwaterloo.ca, yakxeruslemon61
Roger Smith, roger.smith@uwaterloo.ca, sharkxerusbat13
Diane Washington, diane.washington@uwaterloo.ca, xiguapapayaxigua52
Charlotte Henry, charlotte.henry@uwaterloo.ca, sandfigtangerine67
Stephanie Foster, stephanie.foster@uwaterloo.ca, iguanaorangewatermelon68
Brian Peterson, brian.peterson@uwaterloo.ca, xeruscatgrape28
Jessica Aguilar, jessica.aguilar@uwaterloo.ca, lionpenguinshark12
Anthony Brooks, anthony.brooks@uwaterloo.ca, cherryquartzlake45
Kyle King, kyle.king@uwaterloo.ca, lionzebraquince87
Dorothy Roberts, dorothy.roberts@uwaterloo.ca, autumnmangofrog70
Cheryl Meyer, cheryl.meyer@uwaterloo.ca, batpapayaautumn31
Heather Long, heather.long@uwaterloo.ca, oceanrabbitcloud46
Diana Hall, diana.hall@uwaterloo.ca, raspberryyaktree92
Terry Romero, terry.romero@uwaterloo.ca, quinceraspberryumbrella89
Arthur Anderson, arthur.anderson@uwaterloo.ca, zucchinigrapeowl63
Emma Patel, emma.patel@uwaterloo.ca, zephyryawnlion41
Dylan Ramos, dylan.ramos@uwaterloo.ca, kangarooapplehorse80
Gary Price, gary.price@uwaterloo.ca, raspberrybreezewatermelon53
Jeffrey Wilson, jeffrey.wilson@uwaterloo.ca, treerabbitkettle14
Judith Hernandez, judith.hernandez@uwaterloo.ca, lionlakesand94
Richard Wells, richard.wells@uwaterloo.ca, sandhorseorange58
Stanley Robertson, stanley.robertson@uwaterloo.ca, newtgrapeorange22
Dorothy Patterson, dorothy.patterson@uwaterloo.ca, dogjellyfishraspberry12
Billy Fisher, billy.fisher@uwaterloo.ca, quincelakezephyr88
Denise Lee, denise.lee@uwaterloo.ca, datelemonquince68
Timothy Moreno, timothy.moreno@uwaterloo.ca, dewwhalejellyfish80
Betty Perry, betty.perry@uwaterloo.ca, junglequincepeak48
Sandra Murray, sandra.murray@uwaterloo.ca, umbrelladewwind61
Ryan Ward, ryan.ward@uwaterloo.ca, urchinsandgoat40
Lauren Powell, lauren.powell@uwaterloo.ca, watermelonapplejellyfish88
Elizabeth Hall, elizabeth.hall@uwaterloo.ca, figtreemango98
Ronald Perry, ronald.perry@uwaterloo.ca, ugliquincecat48
Deborah Bryant, deborah.bryant@uwaterloo.ca, urchinxeruspeak13
Jose Thomas, jose.thomas@uwaterloo.ca, treeiguanawhale86
Danielle Morris, danielle.morris@uwaterloo.ca, jungleearthnewt92
Jose Stevens, jose.stevens@uwaterloo.ca, oceanearthwatermelon88
Joe Bryant, joe.bryant@uwaterloo.ca, riveryawnjellyfish59
Brandon Murphy, brandon.murphy@uwaterloo.ca, iguanaumbrellapeak39
Mary Flores, mary.flores@uwaterloo.ca, yawnzephyrzucchini39
Adam Garcia, adam.garcia@uwaterloo.ca, batautumnorange20
Janice Rice, janice.rice@uwaterloo.ca, lakegoatiguana28
Gabriel Alvarez, gabriel.alvarez@uwaterloo.ca, riverhorsefig62
Jennifer Adams, jennifer.adams@uwaterloo.ca, rivervalleyyak78
Aaron Vasquez, aaron.vasquez1@uwaterloo.ca, autumngrapeumbrella43
Walter Ryan, walter.ryan@uwaterloo.ca, quincehoneydewquail94
Logan Fernandez, logan.fernandez@uwaterloo.ca, newtapplelake53
Charles Ford, charles.ford@uwaterloo.ca, nightquartzsand28
Ryan Walker, ryan.walker@uwaterloo.ca, xiguapapayarabbit90
Sophia Fox, sophia.fox@uwaterloo.ca, breezenightzephyr28
Jerry Shaw, jerry.shaw@uwaterloo.ca, xiguaowlrabbit23
Julia Guzman, julia.guzman@uwaterloo.ca, umbrellaturtleshark90
Julie Nichols, julie.nichols@uwaterloo.ca, zephyrquailtree47
Marilyn Scott, marilyn.scott@uwaterloo.ca, hillapplelion43
William Reed, william.reed@uwaterloo.ca, grassriverxylophone28
Julie Shaw, julie.shaw@uwaterloo.ca, honeydewmonkeycat11
Lori Palmer, lori.palmer@uwaterloo.ca, earthautumngoat63
Nicholas Alexander, nicholas.alexander@uwaterloo.ca, monkeygoatvanilla63
Nicholas Patterson, nicholas.patterson@uwaterloo.ca, flowernectarinedate81
Henry Chavez, henry.chavez@uwaterloo.ca, valleyvulturepeak10
Helen Wood, helen.wood@uwaterloo.ca, yawnkiwiwhale49
Joseph Marshall, joseph.marshall@uwaterloo.ca, quailkiwiautumn54
Stephen Scott, stephen.scott@uwaterloo.ca, autumnowlrabbit10
Roger Salazar, roger.salazar@uwaterloo.ca, papayawhalelion34
Charles Warren, charles.warren@uwaterloo.ca, yellowraspberryocean91
Rebecca Warren, rebecca.warren@uwaterloo.ca, monkeygrassflower92
Kathleen Marshall, kathleen.marshall@uwaterloo.ca, quincelemonearth57
Amanda Wells, amanda.wells@uwaterloo.ca, tangerineautumnzucchini20
Samuel Rivera, samuel.rivera@uwaterloo.ca, mangoelderberrykiwi40
Judith Nguyen, judith.nguyen@uwaterloo.ca, lakecatwhale56
Jason Hill, jason.hill@uwaterloo.ca, raspberryhillbreeze28
Kayla Freeman, kayla.freeman@uwaterloo.ca, hillearthsand52
Hannah Freeman, hannah.freeman@uwaterloo.ca, datecherryugli30
Katherine Anderson, katherine.anderson@uwaterloo.ca, uglidogflower74
Gary Wallace, gary.wallace1@uwaterloo.ca, papayacherrymountain95
Joshua Alvarez, joshua.alvarez@uwaterloo.ca, xerusumbrellazucchini33
Stephen Meyer, stephen.meyer@uwaterloo.ca, figpeakumbrella50
Willie Bryant, willie.bryant@uwaterloo.ca, uglivalleypeak54
Rebecca Graham, rebecca.graham@uwaterloo.ca, quailtreeowl77
Andrew Palmer, andrew.palmer@uwaterloo.ca, sandelderberryowl46
Cheryl Webb, cheryl.webb@uwaterloo.ca, oceanlakelion17
James Jordan, james.jordan@uwaterloo.ca, monkeymangokettle71
Theresa Jenkins, theresa.jenkins@uwaterloo.ca, icekangaroougli51
Maria Walker, maria.walker@uwaterloo.ca, monkeyfigxigua19
Michael Anderson, michael.anderson@uwaterloo.ca, quartzelephantapple79
Joyce Jenkins, joyce.jenkins@uwaterloo.ca, nightorangevulture32
Ann King, ann.king@uwaterloo.ca, windcloudorange66
Vincent Wallace, vincent.wallace@uwaterloo.ca, yellowfigdate29
Roger Parker, roger.parker@uwaterloo.ca, sanddatexylophone21
Beverly Snyder, beverly.snyder1@uwaterloo.ca, kiwifigzebra75
Albert Woods, albert.woods@uwaterloo.ca, nightmountainugli38
Raymond Boyd, raymond.boyd@uwaterloo.ca, nectarinedatepenguin48
Ashley Warren, ashley.warren@uwaterloo.ca, mangoiguananectarine24
Benjamin Ferguson, benjamin.ferguson@uwaterloo.ca, nectarinejellyfishfrog59
Teresa Jimenez, teresa.jimenez@uwaterloo.ca, mountaindewnight17
Doris Moreno, doris.moreno@uwaterloo.ca, sharkwatermelonxerus48
Grace Burns, grace.burns@uwaterloo.ca, yawnyawnurchin27
Susan Chen, susan.chen@uwaterloo.ca, anthoneydewriver16
Cynthia Flores, cynthia.flores@uwaterloo.ca, batnighttree66
Arthur Garcia, arthur.garcia@uwaterloo.ca, honeydewyellowpeak33
James Reynolds, james.reynolds1@uwaterloo.ca, turtlegoattree93
Abigail Davis, abigail.davis@uwaterloo.ca, orangebreezeautumn44
Jean Ortiz, jean.ortiz@uwaterloo.ca, xerusantxigua57
Tyler Simpson, tyler.simpson@uwaterloo.ca, nightugliwhale75
Gabriel Coleman, gabriel.coleman@uwaterloo.ca, vanillaautumnquince95
Leonard Cook, leonard.cook@uwaterloo.ca, yellowzebralion67
Lori Henderson, lori.henderson@uwaterloo.ca, frogvalleylake99
Karen Burns, karen.burns@uwaterloo.ca, hillumbrellakiwi87
Alexander Stewart, alexander.stewart@uwaterloo.ca, whalerivervulture75
Jack Morgan, jack.morgan@uwaterloo.ca, iceowlyak27
Sean Reed, sean.reed@uwaterloo.ca, owlhorsekiwi60
Austin Walker, austin.walker@uwaterloo.ca, zebraoceanhoneydew27
Harold Davis, harold.davis@uwaterloo.ca, vanillaxiguastrawberry41
Julia Cole, julia.cole@uwaterloo.ca, banananightquince41
Evelyn Owens, evelyn.owens@uwaterloo.ca, xylophoneyellowcloud12
Alexis Rodriguez, alexis.rodriguez@uwaterloo.ca, jungledatekettle40
Kimberly Thompson, kimberly.thompson@uwaterloo.ca, xeruspeakquince16
Joseph Henry, joseph.henry1@uwaterloo.ca, zucchinizebrariver48
Angela Simmons, angela.simmons@uwaterloo.ca, iguanastrawberryquince39
Jordan Soto, jordan.soto@uwaterloo.ca, turtlerabbitcherry98
Teresa Kennedy, teresa.kennedy@uwaterloo.ca, peakelephantyellow87
Alexander Rogers, alexander.rogers@uwaterloo.ca, nightrivertangerine73
Larry Gardner, larry.gardner@uwaterloo.ca, lemonyawncat69
Arthur Gordon, arthur.gordon@uwaterloo.ca, antdewelephant84
Charles Washington, charles.washington@uwaterloo.ca, xerusjungledog75
Christina Freeman, christina.freeman@uwaterloo.ca, quailwatermelonmonkey40
Johnny Hayes, johnny.hayes@uwaterloo.ca, orangexiguayak41
Sandra Hamilton, sandra.hamilton@uwaterloo.ca, valleypeakiguana23
David Flores, david.flores@uwaterloo.ca, elephantnewtjungle32
Rose Cox, rose.cox@uwaterloo.ca, dewrivermonkey60
Heather Williams, heather.williams@uwaterloo.ca, valleymountaintangerine41
Evelyn Ferguson, evelyn.ferguson@uwaterloo.ca, grasslionlemon24
Ruth Taylor, ruth.taylor@uwaterloo.ca, sandkiwinectarine48
Anthony Hicks, anthony.hicks@uwaterloo.ca, elderberrykiwigrass51
Benjamin Johnson, benjamin.johnson@uwaterloo.ca, penguinzucchiniwind22
Jose Rivera, jose.rivera@uwaterloo.ca, kangarooautumnwatermelon74
Alice Cook, alice.cook@uwaterloo.ca, autumnorangeapple37
Julia Garcia, julia.garcia@uwaterloo.ca, penguinstrawberrycloud10
Martha Jackson, martha.jackson@uwaterloo.ca, cloudxylophonecloud86
Kathleen James, kathleen.james@uwaterloo.ca, strawberryriverxerus56
Megan Jenkins, megan.jenkins@uwaterloo.ca, treequailcloud42
Diane Graham, diane.graham@uwaterloo.ca, zucchiniquinceelderberry60
Julia Gardner, julia.gardner@uwaterloo.ca, orangelemongoat46
Steven Graham, steven.graham@uwaterloo.ca, rabbitrabbithoneydew91
Brittany Tran, brittany.tran@uwaterloo.ca, iguanaturtledog23
Megan Hill, megan.hill@uwaterloo.ca, treeraspberrylemon21
Jonathan Bailey, jonathan.bailey@uwaterloo.ca, mountaincloudquail81
Cheryl Mendez, cheryl.mendez@uwaterloo.ca, yellowumbrellaant32
Dennis Jimenez, dennis.jimenez@uwaterloo.ca, figgoatautumn46
Jean Richardson, jean.richardson@uwaterloo.ca, catumbrellalion59
Jack Gonzales, jack.gonzales@uwaterloo.ca, windelderberrytree54
Grace Washington, grace.washington@uwaterloo.ca, honeydewmountainfrog88
Barbara Owens, barbara.owens@uwaterloo.ca, autumnjellyfishorange91
Michelle Perez, michelle.perez@uwaterloo.ca, xeruswindhorse83
Willie Patel, willie.patel@uwaterloo.ca, figstrawberrylake17
Thomas Guzman, thomas.guzman@uwaterloo.ca, peakapplepenguin66
Jerry Robinson, jerry.robinson@uwaterloo.ca, icesharkdate27
Ruth Harris, ruth.harris@uwaterloo.ca, kangaroobananamonkey19
Jennifer Peterson, jennifer.peterson@uwaterloo.ca, mountainkangaroozebra52
Charlotte Scott, charlotte.scott@uwaterloo.ca, hilljungletangerine72
Gary Kelly, gary.kelly@uwaterloo.ca, grapelionpapaya14
Robert Graham, robert.graham@uwaterloo.ca, dewelderberryfig13
Charlotte Owens, charlotte.owens@uwaterloo.ca, raspberryorangedate68
Carl Ryan, carl.ryan@uwaterloo.ca, xylophonexylophonekiwi59
Beverly Hill, beverly.hill@uwaterloo.ca, horsevulturehorse76
Kyle Patterson, kyle.patterson@uwaterloo.ca, cloudicehoneydew87
Jose Gray, jose.gray@uwaterloo.ca, mangowhalenight92
Joan Perry, joan.perry@uwaterloo.ca, dewfigraspberry65
Dennis Tucker, dennis.tucker@uwaterloo.ca, newthoneydewcloud86
Stephanie Fisher, stephanie.fisher@uwaterloo.ca, rabbitwatermelontree62
George Boyd, george.boyd@uwaterloo.ca, xerusmonkeyfrog54
Adam Parker, adam.parker@uwaterloo.ca, raspberryiguanariver54
Laura Ruiz, laura.ruiz@uwaterloo.ca, iguanapenguinquail77
John Salazar, john.salazar@uwaterloo.ca, lemonhoneydewdog99
Peter Morris, peter.morris@uwaterloo.ca, treelemondog61
Catherine Vasquez, catherine.vasquez@uwaterloo.ca, nightgoattree98
Sara Alexander, sara.alexander@uwaterloo.ca, figwatermelonrabbit93
Jessica Boyd, jessica.boyd@uwaterloo.ca, umbrellajellyfishwatermelon66
Charlotte Olson, charlotte.olson@uwaterloo.ca, jellyfishdatenewt31
Logan Castillo, logan.castillo@uwaterloo.ca, goatflowerdew71
Douglas Mason, douglas.mason@uwaterloo.ca, zucchiniquartzugli16
Adam Rice, adam.rice@uwaterloo.ca, grapeturtlegoat87
Grace Hill, grace.hill@uwaterloo.ca, urchinyellowmango60
